material name     |     G vrh     |     K vrh     |     Vicker's Hardness
H2.5C1F1.5    75.64501814117507GPa   149.2184997231318GPa   8.347937998213474GPa
H2.5F1.5Ir1    78.74516392815192GPa   132.1674718506465GPa   11.034183907317992GPa
H2.5F1.5Os1    80.9672923730342GPa   138.83833477864712GPa   10.911609509215014GPa
H2.5F1.5Re1    86.96482272965778GPa   144.76004533831454GPa   12.018240353820168GPa
H2.5F1.5Tc1    82.47108625405068GPa   123.34153574151429GPa   13.502189268280901GPa
H2.66666667F1.33333333S1    76.50376823822263GPa   126.53890256717128GPa   11.037546335045187GPa
Li1F8.5Np1.5    73.23636687273722GPa   95.25134202494519GPa   15.127851047276351GPa
Li1F8.5V1.5    72.34220265316621GPa   91.52062134671715GPa   15.59025277433189GPa
Li1O4.5Hf2    74.54012628603341GPa   151.53382205156788GPa   7.8612161860950405GPa
Li1O4.5Pu2    56.421727051268384GPa   92.09455126298099GPa   8.930665777787231GPa
Li2P1Te2.5    39.93413557173421GPa   64.52893048402576GPa   6.862261064583761GPa
Li3S1Se3.5    43.808831366547004GPa   67.58211257881833GPa   7.991768172903264GPa
Li3S1Te4.5    35.14541086448167GPa   59.03379080208479GPa   5.746647935812991GPa
Li3Se1Te4.5    29.36772059855512GPa   53.82889331340194GPa   4.10974768536457GPa
Li6O3.5K1    54.399700213704676GPa   65.40298508836887GPa   13.70139343237443GPa
