material name     |     G vrh     |     K vrh     |     Vicker's Hardness
H2.5F1.5Tc1    69.77897513348624GPa   96.50840897193672GPa   13.39930384722561GPa
H2.66666667F1.33333333S1    54.158094742419955GPa   117.48847601948022GPa   5.350543774917147GPa
Li1F8.5Np1.5    66.18304461763952GPa   116.80978016317776GPa   8.953356064574827GPa
Li1F8.5V1.5    74.55065821105065GPa   115.14194224278457GPa   11.980940954820149GPa
Li1O4.5Hf2    76.0981686830457GPa   108.71313090008027GPa   13.61084716362324GPa
Li1O4.5Pu2    48.25607470293014GPa   86.33147215923218GPa   6.780157308361915GPa
Li2P1Te2.5    36.3608000175296GPa   67.36717369782704GPa   4.955310266735625GPa
Li3S1Se3.5    41.857621205745936GPa   74.00643588010745GPa   6.124288674295991GPa
Li3S1Te4.5    33.0304661537499GPa   64.41720982921949GPa   4.082605701334291GPa
Li3Se1Te4.5    30.40769119650351GPa   62.40637684643721GPa   3.3569390815289877GPa
Li6O3.5K1    46.76454506085081GPa   57.45112987409309GPa   11.90577277232182GPa
